date,home_team,away_team,home_score,away_score,tournament,neutral,peso
2018-01-02,Iraq,United Arab Emirates,0,0,Gulf Cup,True,0.002879611182571448
2018-01-02,Oman,Bahrain,1,0,Gulf Cup,True,0.002879611182571448
2018-01-05,Oman,United Arab Emirates,0,0,Gulf Cup,True,0.0028960718346032048
2018-01-07,Estonia,Sweden,1,1,Friendly,True,0.0029070978437240654
2018-01-11,Denmark,Sweden,0,1,Friendly,True,0.002929275957417854
2018-01-11,Indonesia,Iceland,0,6,Friendly,False,0.002929275957417854
2018-01-11,Jordan,Finland,1,2,Friendly,True,0.002929275957417854
2018-01-14,Indonesia,Iceland,1,4,Friendly,False,0.0029460205070056173
2018-01-27,Moldova,South Korea,0,1,Friendly,True,0.0030196933273099217
2018-01-28,United States,Bosnia and Herzegovina,0,0,Friendly,False,0.0030254361986319193
2018-01-28,Yorkshire,Ellan Vannin,1,1,Friendly,False,0.0030254361986319193
2018-01-30,Azerbaijan,Moldova,0,0,Friendly,True,0.0030369547275310026
2018-01-30,Jamaica,South Korea,2,2,Friendly,True,0.0030369547275310026
2018-01-31,Mexico,Bosnia and Herzegovina,1,0,Friendly,True,0.0030427304266899898
2018-02-03,Latvia,South Korea,0,1,Friendly,True,0.0030601235133272827
2018-02-26,Saudi Arabia,Moldova,3,0,Friendly,False,0.0031968158865691705
2018-02-28,Iraq,Saudi Arabia,4,1,Friendly,False,0.0032089868972125764
2018-03-17,Iran,Sierra Leone,4,0,Friendly,False,0.0033143292953254325
2018-03-21,Andorra,Liechtenstein,1,0,Friendly,True,0.0033396141587465475
2018-03-21,Antigua and Barbuda,Bermuda,3,2,Friendly,False,0.0033396141587465475
2018-03-21,Iraq,Qatar,2,3,Friendly,False,0.0033396141587465475
2018-03-21,Jordan,Kuwait,1,0,Friendly,False,0.0033396141587465475
2018-03-21,Laos,Cambodia,0,1,Friendly,False,0.0033396141587465475
2018-03-21,Madagascar,Togo,0,0,Friendly,True,0.0033396141587465475
2018-03-21,South Africa,Angola,1,1,Friendly,True,0.0033396141587465475
2018-03-21,Tahiti,New Caledonia,0,0,Friendly,False,0.0033396141587465475
